subject_id,clip,experiment,true,pred,branch,image
159,sub159/j_1176_1220,exp_00_dual_cnn_scl_auxflow,Positive,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_00_dual_cnn_scl_auxflow/activation.png
159,sub159/j_1176_1220,exp_01_dual_resnet50_flow_swinv2_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
159,sub159/j_1176_1220,exp_02_dual_swinv2_flow_resnet50_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
159,sub159/j_1176_1220,exp_03_dual_convnext_flow_vit_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_03_dual_convnext_flow_vit_spatial/activation.png
159,sub159/j_1176_1220,exp_04_dual_vggface2_flow_swin_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_04_dual_vggface2_flow_swin_spatial/activation.png
159,sub159/j_1176_1220,exp_05_single_swin_apex,Positive,Positive,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_05_single_swin_apex/activation.png
159,sub159/j_1176_1220,exp_06_single_resnet_flow,Positive,Positive,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub159_j_1176_1220/exp_06_single_resnet_flow/activation.png
186,sub186/j_1187_1196,exp_00_dual_cnn_scl_auxflow,Positive,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_00_dual_cnn_scl_auxflow/activation.png
186,sub186/j_1187_1196,exp_01_dual_resnet50_flow_swinv2_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
186,sub186/j_1187_1196,exp_02_dual_swinv2_flow_resnet50_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
186,sub186/j_1187_1196,exp_03_dual_convnext_flow_vit_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_03_dual_convnext_flow_vit_spatial/activation.png
186,sub186/j_1187_1196,exp_04_dual_vggface2_flow_swin_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_04_dual_vggface2_flow_swin_spatial/activation.png
186,sub186/j_1187_1196,exp_05_single_swin_apex,Positive,Positive,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_05_single_swin_apex/activation.png
186,sub186/j_1187_1196,exp_06_single_resnet_flow,Positive,Positive,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub186_j_1187_1196/exp_06_single_resnet_flow/activation.png
207,sub207/k_27_42,exp_00_dual_cnn_scl_auxflow,Positive,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_00_dual_cnn_scl_auxflow/activation.png
207,sub207/k_27_42,exp_01_dual_resnet50_flow_swinv2_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
207,sub207/k_27_42,exp_02_dual_swinv2_flow_resnet50_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
207,sub207/k_27_42,exp_03_dual_convnext_flow_vit_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_03_dual_convnext_flow_vit_spatial/activation.png
207,sub207/k_27_42,exp_04_dual_vggface2_flow_swin_spatial,Positive,Positive,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_04_dual_vggface2_flow_swin_spatial/activation.png
207,sub207/k_27_42,exp_05_single_swin_apex,Positive,Positive,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_05_single_swin_apex/activation.png
207,sub207/k_27_42,exp_06_single_resnet_flow,Positive,Positive,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub207_k_27_42/exp_06_single_resnet_flow/activation.png
162,sub162/c_303_374,exp_00_dual_cnn_scl_auxflow,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_00_dual_cnn_scl_auxflow/activation.png
162,sub162/c_303_374,exp_01_dual_resnet50_flow_swinv2_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
162,sub162/c_303_374,exp_02_dual_swinv2_flow_resnet50_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
162,sub162/c_303_374,exp_03_dual_convnext_flow_vit_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_03_dual_convnext_flow_vit_spatial/activation.png
162,sub162/c_303_374,exp_04_dual_vggface2_flow_swin_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_04_dual_vggface2_flow_swin_spatial/activation.png
162,sub162/c_303_374,exp_05_single_swin_apex,Negative,Negative,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_05_single_swin_apex/activation.png
162,sub162/c_303_374,exp_06_single_resnet_flow,Negative,Negative,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub162_c_303_374/exp_06_single_resnet_flow/activation.png
187,sub187/l_4178_4188,exp_00_dual_cnn_scl_auxflow,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_00_dual_cnn_scl_auxflow/activation.png
187,sub187/l_4178_4188,exp_01_dual_resnet50_flow_swinv2_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
187,sub187/l_4178_4188,exp_02_dual_swinv2_flow_resnet50_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
187,sub187/l_4178_4188,exp_03_dual_convnext_flow_vit_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_03_dual_convnext_flow_vit_spatial/activation.png
187,sub187/l_4178_4188,exp_04_dual_vggface2_flow_swin_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_04_dual_vggface2_flow_swin_spatial/activation.png
187,sub187/l_4178_4188,exp_05_single_swin_apex,Negative,Negative,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_05_single_swin_apex/activation.png
187,sub187/l_4178_4188,exp_06_single_resnet_flow,Negative,Negative,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub187_l_4178_4188/exp_06_single_resnet_flow/activation.png
202,sub202/g_2676_2696,exp_00_dual_cnn_scl_auxflow,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_00_dual_cnn_scl_auxflow/activation.png
202,sub202/g_2676_2696,exp_01_dual_resnet50_flow_swinv2_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
202,sub202/g_2676_2696,exp_02_dual_swinv2_flow_resnet50_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
202,sub202/g_2676_2696,exp_03_dual_convnext_flow_vit_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_03_dual_convnext_flow_vit_spatial/activation.png
202,sub202/g_2676_2696,exp_04_dual_vggface2_flow_swin_spatial,Negative,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_04_dual_vggface2_flow_swin_spatial/activation.png
202,sub202/g_2676_2696,exp_05_single_swin_apex,Negative,Negative,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_05_single_swin_apex/activation.png
202,sub202/g_2676_2696,exp_06_single_resnet_flow,Negative,Negative,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub202_g_2676_2696/exp_06_single_resnet_flow/activation.png
184,sub184/j_643_653,exp_00_dual_cnn_scl_auxflow,Surprise,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_00_dual_cnn_scl_auxflow/activation.png
184,sub184/j_643_653,exp_01_dual_resnet50_flow_swinv2_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
184,sub184/j_643_653,exp_02_dual_swinv2_flow_resnet50_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
184,sub184/j_643_653,exp_03_dual_convnext_flow_vit_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_03_dual_convnext_flow_vit_spatial/activation.png
184,sub184/j_643_653,exp_04_dual_vggface2_flow_swin_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_04_dual_vggface2_flow_swin_spatial/activation.png
184,sub184/j_643_653,exp_05_single_swin_apex,Surprise,Surprise,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_05_single_swin_apex/activation.png
184,sub184/j_643_653,exp_06_single_resnet_flow,Surprise,Surprise,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub184_j_643_653/exp_06_single_resnet_flow/activation.png
213,sub213/g_5_24,exp_00_dual_cnn_scl_auxflow,Surprise,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_00_dual_cnn_scl_auxflow/activation.png
213,sub213/g_5_24,exp_01_dual_resnet50_flow_swinv2_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
213,sub213/g_5_24,exp_02_dual_swinv2_flow_resnet50_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
213,sub213/g_5_24,exp_03_dual_convnext_flow_vit_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_03_dual_convnext_flow_vit_spatial/activation.png
213,sub213/g_5_24,exp_04_dual_vggface2_flow_swin_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_04_dual_vggface2_flow_swin_spatial/activation.png
213,sub213/g_5_24,exp_05_single_swin_apex,Surprise,Surprise,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_05_single_swin_apex/activation.png
213,sub213/g_5_24,exp_06_single_resnet_flow,Surprise,Surprise,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub213_g_5_24/exp_06_single_resnet_flow/activation.png
216,sub216/h_2189_2199,exp_00_dual_cnn_scl_auxflow,Surprise,Negative,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_00_dual_cnn_scl_auxflow/activation.png
216,sub216/h_2189_2199,exp_01_dual_resnet50_flow_swinv2_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_01_dual_resnet50_flow_swinv2_spatial/activation.png
216,sub216/h_2189_2199,exp_02_dual_swinv2_flow_resnet50_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_02_dual_swinv2_flow_resnet50_spatial/activation.png
216,sub216/h_2189_2199,exp_03_dual_convnext_flow_vit_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_03_dual_convnext_flow_vit_spatial/activation.png
216,sub216/h_2189_2199,exp_04_dual_vggface2_flow_swin_spatial,Surprise,Surprise,dual,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_04_dual_vggface2_flow_swin_spatial/activation.png
216,sub216/h_2189_2199,exp_05_single_swin_apex,Surprise,Surprise,spatial,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_05_single_swin_apex/activation.png
216,sub216/h_2189_2199,exp_06_single_resnet_flow,Surprise,Surprise,flow,/scratch/smiyyapuram/medusa/activations/balanced_3perlabel_seed20260404_7exp/sub216_h_2189_2199/exp_06_single_resnet_flow/activation.png
