fold,best_acc,best_uar,best_uf1,best_epoch,saved_model
1,0.6083086053412463,0.42371531666044543,0.36068996790099656,36,./save_dual_cnn/best_scl_dual_cnn_fold1_apex_gray.pth
2,0.6597633136094675,0.4378968253968254,0.3990175874626763,1,./save_dual_cnn/best_scl_dual_cnn_fold2_apex_gray.pth
3,0.6801152737752162,0.39524107049880247,0.3868994771628687,43,./save_dual_cnn/best_scl_dual_cnn_fold3_apex_gray.pth
4,0.8162839248434238,0.43404926314530834,0.41765971402335045,36,./save_dual_cnn/best_scl_dual_cnn_fold4_apex_gray.pth
5,0.7756653992395437,0.4196926847662142,0.42343342735284145,52,./save_dual_cnn/best_scl_dual_cnn_fold5_apex_gray.pth
6,0.6867469879518072,0.5161637931034483,0.4224074952145127,36,./save_dual_cnn/best_scl_dual_cnn_fold6_apex_gray.pth
7,0.7522658610271903,0.4703488372093023,0.42631962086434605,20,./save_dual_cnn/best_scl_dual_cnn_fold7_apex_gray.pth
8,0.7741046831955923,0.5448192152961565,0.37037270282436857,24,./save_dual_cnn/best_scl_dual_cnn_fold8_apex_gray.pth
9,0.6666666666666666,0.4278447121820616,0.38265421056118737,13,./save_dual_cnn/best_scl_dual_cnn_fold9_apex_gray.pth
10,0.638095238095238,0.4246031746031746,0.3110464108696405,1,./save_dual_cnn/best_scl_dual_cnn_fold10_apex_gray.pth
