fold,best_acc,best_uar,best_uf1,best_score,best_epoch,saved_model
1,0.7893175074183977,0.47764091078760734,0.49244553162781446,0.5458980784498483,2,./save_dual_cnn/best_scl_dual_cnn_fold1_apex_rgb.pth
2,0.6775147928994083,0.42480158730158735,0.42540121356774746,0.4755840789276156,58,./save_dual_cnn/best_scl_dual_cnn_fold2_apex_rgb.pth
3,0.7492795389048992,0.38323961262105594,0.3762971621533866,0.4536706176907569,17,./save_dual_cnn/best_scl_dual_cnn_fold3_apex_rgb.pth
4,0.8121085594989561,0.4053223926105281,0.4160104897440126,0.49095486484160755,6,./save_dual_cnn/best_scl_dual_cnn_fold4_apex_rgb.pth
5,0.7414448669201521,0.45956825037707394,0.437530345471522,0.5071284117234689,92,./save_dual_cnn/best_scl_dual_cnn_fold5_apex_rgb.pth
6,0.6716867469879518,0.47385057471264364,0.3938905967891475,0.48143381799830687,61,./save_dual_cnn/best_scl_dual_cnn_fold6_apex_rgb.pth
7,0.7915407854984894,0.5000553709856036,0.4275191684121909,0.5293379728588157,14,./save_dual_cnn/best_scl_dual_cnn_fold7_apex_rgb.pth
8,0.7741046831955923,0.54936151309821,0.37764634516226875,0.5256240799433101,26,./save_dual_cnn/best_scl_dual_cnn_fold8_apex_rgb.pth
9,0.7552083333333334,0.45689424364123155,0.4150574063617542,0.49982232666786097,12,./save_dual_cnn/best_scl_dual_cnn_fold9_apex_rgb.pth
10,0.6,0.4466619981325864,0.40578002244668904,0.46097680823171017,3,./save_dual_cnn/best_scl_dual_cnn_fold10_apex_rgb.pth
