clip_folder,subject,emotion,emotion_id
./casme_processed/sub152/i_1436_1467,152,anger,3
./casme_processed/sub153/i_2716_2929,153,anger,3
./casme_processed/sub160/e_2074_2083,160,anger,3
./casme_processed/sub180/e_43_97,180,anger,3
./casme_processed/sub147/m_520_626,147,anger,3
./casme_processed/sub195/m_1456_1481,195,anger,3
./casme_processed/sub11/i_2756_2767,11,anger,3
./casme_processed/sub217/i_118_139,217,anger,3
./casme_processed/sub161/i_7_29,161,anger,3
./casme_processed/sub144/m_1627_1653,144,anger,3
./casme_processed/sub15/i_838_1726,15,anger,3
./casme_processed/sub8/i_1965_1978,8,anger,3
./casme_processed/sub190/i_173_199,190,anger,3
./casme_processed/sub180/i_2902_2936,180,anger,3
./casme_processed/sub179/i_1402_1635,179,anger,3
./casme_processed/sub216/i_3149_3186,216,anger,3
./casme_processed/sub77/i_675_697,77,anger,3
./casme_processed/sub196/m_93_106,196,anger,3
./casme_processed/sub171/i_3430_3439,171,anger,3
./casme_processed/sub215/j_958_972,215,anger,3
./casme_processed/sub12/i_99_109,12,anger,3
./casme_processed/sub208/i_1848_1882,208,anger,3
./casme_processed/sub157/i_3429_3442,157,anger,3
./casme_processed/sub215/m_1909_1925,215,anger,3
./casme_processed/sub11/i_1524_1550,11,anger,3
./casme_processed/sub209/i_2602_2616,209,anger,3
./casme_processed/sub40/i_1213_1251,40,anger,3
./casme_processed/sub162/m_1271_1285,162,anger,3
./casme_processed/sub208/m_1300_1313,208,anger,3
./casme_processed/sub166/i_957_977,166,anger,3
./casme_processed/sub42/m_2778_2787,42,anger,3
./casme_processed/sub3/i_2396_2406,3,anger,3
./casme_processed/sub216/m_423_451,216,anger,3
./casme_processed/sub196/i_2472_2487,196,anger,3
./casme_processed/sub160/h_236_261,160,anger,3
./casme_processed/sub176/i_916_982,176,anger,3
./casme_processed/sub210/i_4240_4258,210,anger,3
./casme_processed/sub147/m_924_950,147,anger,3
./casme_processed/sub147/i_2786_2807,147,anger,3
./casme_processed/sub153/i_1346_1377,153,anger,3
./casme_processed/sub148/i_2491_2589,148,anger,3
./casme_processed/sub153/m_2137_2154,153,anger,3
./casme_processed/sub142/i_3671_3681,142,anger,3
./casme_processed/sub147/i_860_947,147,anger,3
./casme_processed/sub146/m_935_963,146,anger,3
./casme_processed/sub195/i_3045_3055,195,anger,3
./casme_processed/sub12/i_2733_2750,12,anger,3
./casme_processed/sub207/i_218_234,207,anger,3
./casme_processed/sub170/m_1800_1813,170,anger,3
./casme_processed/sub146/m_635_662,146,anger,3
./casme_processed/sub170/m_2678_2703,170,anger,3
./casme_processed/sub215/j_4_15,215,anger,3
./casme_processed/sub212/i_352_371,212,anger,3
./casme_processed/sub215/i_2620_2632,215,anger,3
./casme_processed/sub147/i_67_364,147,anger,3
./casme_processed/sub146/m_219_304,146,anger,3
./casme_processed/sub170/i_199_215,170,anger,3
./casme_processed/sub146/m_514_564,146,anger,3
./casme_processed/sub184/m_954_973,184,anger,3
./casme_processed/sub196/i_3658_3667,196,anger,3
./casme_processed/sub179/i_608_627,179,anger,3
./casme_processed/sub160/m_1735_1747,160,anger,3
./casme_processed/sub149/m_653_684,149,anger,3
./casme_processed/sub8/i_121_165,8,anger,3
./casme_processed/sub42/m_2326_2350,42,anger,3
./casme_processed/sub39/i_549_576,39,anger,3
