Subject,Emotion,Filename,Apex Frame
Person_1,anger,MYS_G000010_02042021_04_47_34548_34671_Sample_442_34140_25.0.mp4,32
Person_1,anger,MYS_G000010_09072021_01_156_1955_2030_Sample_22_1860_25.0.mp4,38
Person_1,anger,MYS_G000010_16072021_01_100_33747_33950_Sample_380_33720_25.0.mp4,101
Person_1,anger,MYS_G000010_16072021_01_109_35910_35974_Sample_399_35460_25.0.mp4,29
Person_1,anger,MYS_G000010_16072021_01_155_43057_43121_Sample_500_42960_25.0.mp4,23
Person_1,anger,MYS_G000010_16072021_01_186_3282_3329_Sample_55_3240_25.0.mp4,10
Person_1,anger,MYS_G000010_16072021_02_122_41520_41594_Sample_449_41520_25.0.mp4,37
Person_1,anger,MYS_G000010_20082021_02_105_12069_12127_Sample_95_12060_25.0.mp4,29
Person_1,anger,MYS_G000010_30042021_01_490_31268_31320_Sample_479_31260_25.0.mp4,20
Person_118,anger,MYS_G000120_11072021_211_67876_67990_Sample_476_67500_25.0.mp4,57
Person_12,anger,MYS_G000010_09042021_01_20_9951_9994_Sample_138_9900_25.0.mp4,10
Person_12,anger,MYS_G000010_09042021_05_37_28185_28208_Sample_182_28140_25.0.mp4,14
Person_13,anger,MYS_G000010_05112021_02_23_15780_15810_Sample_150_15780_25.0.mp4,22
Person_13,anger,MYS_G000010_16072021_02_116_40740_41337_Sample_439_40740_25.0.mp4,298
Person_14,anger,MYS_G000120_01052021_30_49804_49837_Sample_332_49800_25.0.mp4,9
Person_19,anger,MYS_G000010_21052021_02_44_74052_74093_Sample_1110_74040_25.0.mp4,22
Person_19,anger,MYS_G000010_23042021_02_35_12686_12714_Sample_189_12420_25.0.mp4,10
Person_19,anger,MYS_G000010_23042021_03_84_41352_41390_Sample_637_41220_25.0.mp4,17
Person_2,anger,MYS_G000010_02042021_02_20_17298_17359_Sample_194_15720_25.0.mp4,26
Person_2,anger,MYS_G000010_02042021_02_23_12246_12357_Sample_149_12000_25.0.mp4,22
Person_2,anger,MYS_G000010_02042021_02_51_2978_3005_Sample_23_2880_25.0.mp4,14
Person_2,anger,MYS_G000010_02042021_02_87_23885_23932_Sample_293_23340_25.0.mp4,19
Person_2,anger,MYS_G000010_02042021_04_27_12357_12436_Sample_205_12300_25.0.mp4,16
Person_2,anger,MYS_G000010_09042021_03_161_4870_4984_Sample_66_4740_25.0.mp4,57
Person_2,anger,MYS_G000010_16072021_01_147_41937_41957_Sample_483_41880_25.0.mp4,6
Person_2,anger,MYS_G000010_21052021_02_12_69387_69420_Sample_1041_69240_25.0.mp4,24
Person_2,anger,MYS_G000010_30042021_01_78_84440_84478_Sample_1362_84360_25.0.mp4,21
Person_2,anger,MYS_G000010_30042021_01_89_86582_86643_Sample_1397_86340_25.0.mp4,25
